iter	RMSE
159	161.1010122
160	161.0977304
161	161.0926377
162	161.0895438
163	161.0857336
164	161.0838273
165	161.0807909
166	161.0775122
167	161.0748578
168	161.0732761
169	161.0692729
170	161.0680807
171	161.0653475
172	161.0638344
173	161.0608853
174	161.0595771
175	161.0567476
176	161.0546144
177	161.0509001
178	161.0483715
179	161.0446779
180	161.0404782
181	161.0377088
182	161.0341803
183	161.0317062
184	161.0288078
185	161.0260529
186	161.0244479
187	161.0229317
188	161.0181288
189	161.0158846
190	161.0135712
191	161.0116913
192	161.0089942
193	161.0062969
194	161.0027644
195	161.0007725
196	160.998638
197	160.9945429
198	160.9930497
199	160.9897687
200	160.988166
201	160.9846219
202	160.9818569
203	160.9796858
204	160.9776919
205	160.9742118
206	160.9729938
207	160.9699907
208	160.9667905
209	160.9645245
210	160.9619728
211	160.9592324
212	160.9558694
213	160.953926
214	160.9506312
215	160.9483941
216	160.9446151
217	160.9423438
218	160.9398324
219	160.9366431
220	160.9350416
221	160.9333548
222	160.9299079
223	160.928502
224	160.9266975
225	160.9249439
226	160.9227492
227	160.9206064
228	160.9193357
229	160.9175402
230	160.9145429
231	160.9114549
232	160.9090026
233	160.9058985
234	160.9039213
235	160.9018053
236	160.8990415
237	160.8964787
238	160.8943888
239	160.8919165
240	160.8906585
241	160.8886379
242	160.8871028
243	160.8846345
244	160.8826216
245	160.8798052
246	160.8788089
247	160.8762925
248	160.8743597
249	160.8716007
250	160.8692151
251	160.8651839
252	160.8628625
253	160.8621843
254	160.8598903
255	160.8577828
256	160.8563543
257	160.8552903
258	160.8525972
259	160.8492198
260	160.847138
261	160.8447612
262	160.8428883
263	160.8414832
264	160.8398405
265	160.8371483
266	160.8358813
267	160.8341835
268	160.8320289
269	160.8298318
270	160.8272229
271	160.824689
272	160.8226808
273	160.8214559
274	160.8201871
275	160.8179673
276	160.8155227
277	160.8141534
278	160.8126693
279	160.8109629
280	160.8086474
281	160.8065581
282	160.8040103
283	160.8019431
284	160.7999754
285	160.7985828
286	160.7972117
287	160.7946403
288	160.7937986
289	160.7917041
290	160.7894594
291	160.7875094
292	160.7861513
293	160.7834645
294	160.7817912
295	160.7803207
296	160.7770175
297	160.7748141
298	160.7727017
299	160.7707492
300	160.7684599
301	160.7661237
302	160.7641579
303	160.7620363
304	160.7606002
305	160.758082
306	160.7567276
307	160.7544884
308	160.7532052
309	160.7516146
310	160.7494765
311	160.7484415
312	160.7463484
313	160.7447474
314	160.7424505
315	160.7414887
316	160.7395726
317	160.7377212
318	160.7347066
319	160.7322166
320	160.7309458
321	160.7298282
322	160.7273541
323	160.7258209
324	160.7247902
325	160.7229607
326	160.7207614
327	160.7184851
328	160.7144439
329	160.7127578
330	160.7101571
331	160.7085286
332	160.7070154
333	160.7058353
334	160.7042884
335	160.7024161
336	160.7012416
337	160.699862
338	160.6982164
339	160.6963585
340	160.6938563
341	160.692203
342	160.690709
343	160.6892835
344	160.6880161
345	160.6868351
346	160.685471
347	160.6840882
348	160.6829216
349	160.6811395
350	160.6801176
351	160.678656
352	160.6779774
353	160.6768268
354	160.6759365
355	160.6747543
356	160.6727792
357	160.6714737
358	160.6698054
359	160.6679162
360	160.6661302
361	160.6637821
362	160.6619167
363	160.6604757
364	160.6584812
365	160.657215
366	160.6552989
367	160.6531236
368	160.6516006
369	160.6506471
370	160.6491234
371	160.6474915
372	160.6459547
373	160.6451451
374	160.6439022
375	160.6423994
376	160.6411253
377	160.6399764
378	160.639071
379	160.6384674
380	160.6369165
381	160.6364123
382	160.6345938
383	160.6329215
384	160.6315614
385	160.6294284
386	160.6280165
387	160.6261721
388	160.6247721
389	160.6240081
390	160.6224628
391	160.6216362
392	160.6209991
393	160.6196398
394	160.6177078
395	160.6164843
396	160.615761
397	160.6139711
398	160.6122906
399	160.6116016
400	160.610187
401	160.6088186
402	160.6073495
403	160.6063335
404	160.6048031
405	160.6027125
406	160.6002872
407	160.5995824
408	160.598494
409	160.5971533
410	160.5958573
411	160.5949979
412	160.5940648
413	160.5928513
414	160.5909293
415	160.589517
416	160.5883299
417	160.5855443
418	160.5845985
419	160.5833988
420	160.5822081
421	160.5807162
422	160.5790446
423	160.5777577
424	160.5760036
425	160.5731139
426	160.5715274
427	160.5705327
428	160.5698463
429	160.5683117
430	160.5668436
431	160.5653399
432	160.5638139
433	160.5622481
434	160.5608304
435	160.5594982
436	160.5580216
437	160.5570229
438	160.5553964
439	160.5536872
440	160.5523593
441	160.5513235
442	160.5504992
443	160.5494095
444	160.5481513
445	160.5467451
446	160.5453808
447	160.5441368
448	160.543179
449	160.5416392
450	160.5404398
451	160.5393547
452	160.5387361
453	160.5378917
454	160.5365495
455	160.5348287
456	160.5338624
457	160.5327611
458	160.5320669
459	160.530084
460	160.5284371
461	160.5269942
462	160.5258407
463	160.5246218
464	160.5236966
465	160.5214834
466	160.5201482
467	160.5194309
468	160.5180585
469	160.517078
470	160.5160741
471	160.5149864
472	160.5141626
473	160.5124427
474	160.5116302
475	160.5109152
476	160.5099872
477	160.5083516
478	160.5063472
479	160.5048996
480	160.502343
481	160.5007605
482	160.4998459
483	160.4987097
484	160.4971976
485	160.4953692
486	160.4946634
487	160.4942134
488	160.493362
489	160.4919125
490	160.4908901
491	160.4900921
492	160.4888638
493	160.4877694
494	160.487199
495	160.4859173
496	160.4845133
497	160.4837169
498	160.482913
499	160.4816718
500	160.4798867
501	160.4784192
502	160.4775844
503	160.4769528
504	160.4759593
505	160.4752802
506	160.4733499
507	160.4718985
508	160.4715018
509	160.4697555
510	160.4683959
511	160.4668533
512	160.4658141
513	160.465007
514	160.463412
515	160.4619045
516	160.4609655
517	160.4598505
518	160.4587026
519	160.4577181
520	160.4566815
521	160.4551194
522	160.4545661
523	160.453405
524	160.4519039
525	160.4500865
526	160.4493341
527	160.4481575
528	160.4471009
529	160.4463544
530	160.4454808
531	160.4448055
532	160.444254
533	160.4434471
534	160.4424151
535	160.4408066
536	160.4400351
537	160.4390793
538	160.4376955
539	160.4359232
540	160.4346465
541	160.4335471
542	160.4320102
543	160.4306321
544	160.4295171
545	160.4285504
546	160.4263054
547	160.4252671
548	160.4248365
549	160.4239619
550	160.4224441
551	160.4217331
552	160.4203514
553	160.418976
554	160.4182865
555	160.4167651
556	160.4152303
557	160.4147836
558	160.4139014
559	160.4119725
560	160.410797
561	160.4095455
562	160.408968
563	160.4064822
564	160.4054935
565	160.4043643
566	160.4028548
567	160.4020392
568	160.4011784
569	160.4000601
570	160.398774
571	160.3982181
572	160.3967371
573	160.3958962
574	160.3945965
575	160.3936055
576	160.3927472
577	160.3920684
578	160.3900189
579	160.3884541
580	160.38766
581	160.3868608
582	160.3855707
583	160.3844246
584	160.3839778
585	160.382911
586	160.3823903
587	160.380695
588	160.3795989
589	160.3784347
590	160.3765553
591	160.3755986
592	160.3741635
593	160.372963
594	160.3723533
595	160.3714636
596	160.3703119
597	160.3688663
598	160.3674181
599	160.3657545
600	160.364455
601	160.3635757
602	160.3618641
603	160.3605049
604	160.3593589
605	160.3579269
606	160.3566749
607	160.355682
608	160.3546178
609	160.3534817
610	160.3529827
611	160.3525775
612	160.3518804
613	160.3507099
614	160.349534
615	160.3482554
616	160.3474702
617	160.3455499
618	160.3446814
619	160.3441038
620	160.3428885
621	160.3420422
622	160.3410185
623	160.3398301
624	160.3385284
625	160.3378767
626	160.3371587
627	160.3365377
628	160.3357125
629	160.3345157
630	160.3329291
631	160.3319847
632	160.3310109
633	160.3303359
634	160.3293331
635	160.3284146
636	160.327585
637	160.3265523
638	160.3260496
639	160.3242858
640	160.3235534
641	160.3228197
642	160.322044
643	160.3207118
644	160.3202374
645	160.3188283
646	160.3171085
647	160.3159529
648	160.3147632
649	160.3140303
650	160.3132678
651	160.3123432
652	160.311801
653	160.3107318
654	160.3092397
655	160.3084492
656	160.3077441
657	160.3071289
658	160.3060914
659	160.304952
660	160.304273
661	160.3032621
662	160.3026736
663	160.3018166
664	160.3007984
665	160.2996027
666	160.2980909
667	160.296922
668	160.2960102
669	160.2944015
670	160.2931729
671	160.2921551
672	160.2912811
673	160.290944
674	160.2896648
675	160.2892357
676	160.287753
677	160.2865531
678	160.2859098
679	160.2850116
680	160.2843115
681	160.282556
682	160.2814942
683	160.2806994
684	160.2805208
685	160.279048
686	160.2782469
687	160.2770682
688	160.2753992
689	160.2746617
690	160.2738216
691	160.2726833
692	160.2712081
693	160.2697079
694	160.2687572
695	160.2679214
696	160.2672527
697	160.2666161
698	160.2649924
699	160.2635854
700	160.262373
701	160.2613439
702	160.2606122
703	160.2595456
704	160.2586615
705	160.2576544
706	160.256444
707	160.2556462
708	160.2548557
709	160.2536756
710	160.2528825
711	160.2525139
712	160.2515215
713	160.250422
714	160.2496958
715	160.2486549
716	160.2473814
717	160.2464364
718	160.2449552
719	160.2436106
720	160.2428914
721	160.2420522
722	160.2409091
723	160.2400335
724	160.239329
725	160.2379649
726	160.2372242
727	160.2360383
728	160.2355374
729	160.2341672
730	160.2334646
731	160.2325735
732	160.2318999
733	160.2310319
734	160.2301996
735	160.22917
736	160.2278528
737	160.2266965
738	160.225802
739	160.22482
740	160.2243837
741	160.2234705
742	160.222757
743	160.2216055
744	160.2213593
745	160.2207022
746	160.2201228
747	160.2193295
748	160.2185358
749	160.2173487
750	160.2168048
751	160.2159454
752	160.2147175
753	160.2141228
754	160.2137795
755	160.212823
756	160.2116642
757	160.2110878
758	160.2099024
759	160.2095378
760	160.2089869
761	160.2082333
762	160.2075976
763	160.2068657
764	160.205837
765	160.2045389
766	160.2037368
767	160.2028961
768	160.2018031
769	160.2012256
770	160.2000349
771	160.198456
772	160.1975108
773	160.1968786
774	160.1958897
775	160.1952044
776	160.1940055
777	160.1930803
778	160.1926352
779	160.1917361
780	160.1907122
781	160.1895511
782	160.1887277
783	160.187371
784	160.1865611
785	160.1855886
786	160.1845529
787	160.1841272
788	160.1826388
789	160.1820452
790	160.1809604
791	160.1796609
792	160.1787633
793	160.1778468
794	160.1758789
795	160.1750038
796	160.1742605
797	160.1733051
798	160.1724638
799	160.1713391
800	160.1711447
801	160.1702556
802	160.1692606
803	160.1685702
804	160.167836
805	160.1668848
806	160.1657215
807	160.1652697
808	160.1643649
809	160.1637272
810	160.16271
811	160.162416
812	160.1611658
813	160.1604454
814	160.1592346
815	160.1578584
816	160.1570016
817	160.155957
818	160.1549782
819	160.1541032
820	160.1535356
821	160.1526565
822	160.151531
823	160.1508847
824	160.1500253
825	160.1494913
826	160.148248
827	160.1480871
828	160.1476524
829	160.1468731
830	160.1463242
831	160.145766
832	160.144782
833	160.1441898
834	160.1433829
835	160.1430215
836	160.1424589
837	160.1418061
838	160.1414821
839	160.1404725
840	160.1391335
841	160.1385894
842	160.1381389
843	160.1370113
844	160.1361576
845	160.1355838
846	160.1352907
847	160.1346048
848	160.1337735
849	160.1330952
850	160.1321373
851	160.1313717
852	160.1300026
853	160.1291977
854	160.1283442
855	160.1271457
856	160.1266309
857	160.1260836
858	160.1248535
859	160.1240664
860	160.1235661
861	160.1222759
862	160.1215135
863	160.1205534
864	160.1197708
865	160.1183677
866	160.1169497
867	160.1161874
868	160.1160275
869	160.1155257
870	160.1143065
871	160.1137385
872	160.1128458
873	160.1121667
874	160.1117277
875	160.1111423
876	160.1100039
877	160.1088408
878	160.1081605
879	160.1072224
880	160.1065221
881	160.1059349
882	160.1048357
883	160.1046218
884	160.1035501
885	160.1028039
886	160.1019162
887	160.1012679
888	160.1002455
889	160.0999104
890	160.0991939
891	160.0985933
892	160.0975505
893	160.0968798
894	160.0964936
895	160.0955032
896	160.0949617
897	160.0936125
898	160.0926161
899	160.0920153
900	160.0908135
901	160.0897158
902	160.0891908
903	160.0878538
904	160.0871038
905	160.0856704
906	160.0855406
907	160.0846034
908	160.0838286
909	160.0824577
910	160.0823033
911	160.0816855
912	160.0815486
913	160.0803261
914	160.0791168
915	160.0780709
916	160.0772159
917	160.0755647
918	160.0748163
919	160.074478
920	160.0735709
921	160.0730048
922	160.0720759
923	160.0717006
924	160.0709975
925	160.0703252
926	160.0694197
927	160.0686745
928	160.0677407
929	160.0668424
930	160.0663973
931	160.0657597
932	160.0649391
933	160.0641354
934	160.0634
935	160.0628304
936	160.0625537
937	160.0618813
938	160.0617776
939	160.0610103
940	160.0604469
941	160.0595369
942	160.0585314
943	160.0576964
944	160.0570485
945	160.0562065
946	160.0554096
947	160.0547323
948	160.0537312
949	160.0525832
950	160.051639
951	160.051084
952	160.0506559
953	160.0501883
954	160.0494728
955	160.0484789
956	160.0481646
957	160.0472358
958	160.0467581
959	160.0456786
960	160.0449536
961	160.0439278
962	160.0428962
963	160.0418775
964	160.0404783
965	160.0392391
966	160.0387299
967	160.037333
968	160.0361162
969	160.0358678
970	160.0352341
971	160.0342985
972	160.0334178
973	160.032818
974	160.0319743
975	160.0313682
976	160.0308758
977	160.0294804
978	160.0289389
979	160.0285253
980	160.0278525
981	160.0272008
982	160.0260987
983	160.0255536
984	160.0242253
985	160.0229667
986	160.0223864
987	160.0217809
988	160.020993
989	160.0197911
990	160.0192254
991	160.0180853
992	160.0169964
993	160.0158918
994	160.0147964
995	160.0141301
996	160.0134617
997	160.0127994
998	160.0118079
999	160.0115507
