iter	Passed	Remaining
400	26360	39376
401	26434	39322
402	26521	39288
403	26588	39224
404	26660	39167
405	26730	39108
406	26801	39050
407	26874	38994
408	26959	38956
409	27036	38905
410	27106	38845
411	27168	38775
412	27229	38701
413	27295	38635
414	27369	38580
415	27431	38509
416	27493	38438
417	27562	38376
418	27627	38309
419	27693	38243
420	27765	38186
421	27832	38121
422	27897	38054
423	27972	38000
424	28052	37953
425	28126	37898
426	28208	37853
427	28275	37788
428	28336	37715
429	28415	37666
430	28485	37606
431	28561	37553
432	28629	37489
433	28700	37429
434	28782	37384
435	28843	37311
436	28908	37243
437	28988	37195
438	29065	37142
439	29138	37085
440	29218	37037
441	29283	36968
442	29345	36897
443	29414	36833
444	29483	36771
445	29562	36721
446	29637	36665
447	29706	36602
448	29778	36543
449	29846	36479
450	29916	36417
451	29973	36339
452	30037	36269
453	30101	36201
454	30172	36140
455	30234	36069
456	30301	36004
457	30371	35941
458	30427	35863
459	30498	35802
460	30569	35741
461	30632	35671
462	30699	35605
463	30766	35541
464	30832	35473
465	30914	35426
466	30974	35351
467	31035	35279
468	31100	35211
469	31163	35141
470	31223	35067
471	31282	34993
472	31348	34927
473	31420	34867
474	31473	34786
475	31529	34708
476	31593	34640
477	31657	34571
478	31720	34501
479	31787	34436
480	31856	34373
481	31919	34303
482	31981	34232
483	32056	34175
484	32137	34124
485	32218	34074
486	32290	34014
487	32354	33945
488	32426	33885
489	32499	33825
490	32569	33763
491	32640	33701
492	32711	33640
493	32777	33573
494	32846	33510
495	32906	33437
496	32971	33369
497	33038	33303
498	33104	33237
499	33176	33176
500	33245	33113
501	33331	33066
502	33403	33005
503	33464	32932
504	33528	32864
505	33608	32811
506	33684	32753
507	33765	32702
508	33822	32626
509	33882	32553
510	33946	32484
511	34035	32440
512	34122	32393
513	34195	32332
514	34270	32274
515	34330	32201
516	34397	32135
517	34464	32069
518	34538	32009
519	34602	31940
520	34658	31864
521	34730	31802
522	34791	31731
523	34854	31661
524	34923	31597
525	34996	31537
526	35060	31468
527	35131	31405
528	35203	31343
529	35268	31276
530	35333	31207
531	35389	31132
532	35444	31055
533	35505	30984
534	35563	30910
535	35617	30833
536	35677	30761
537	35748	30698
538	35806	30624
539	35870	30556
540	35942	30494
541	36013	30431
542	36079	30365
543	36156	30307
544	36234	30250
545	36301	30184
546	36382	30130
547	36455	30068
548	36519	30000
549	36585	29933
550	36649	29864
551	36708	29792
552	36778	29728
553	36849	29665
554	36920	29603
555	37012	29556
556	37091	29499
557	37161	29436
558	37231	29372
559	37302	29308
560	37363	29237
561	37423	29166
562	37483	29094
563	37546	29025
564	37605	28953
565	37676	28889
566	37749	28828
567	37808	28755
568	37864	28681
569	37931	28614
570	38012	28558
571	38079	28493
572	38152	28431
573	38216	28362
574	38280	28294
575	38333	28217
576	38398	28149
577	38462	28081
578	38524	28011
579	38587	27942
580	38641	27867
581	38709	27801
582	38777	27736
583	38836	27664
584	38893	27591
585	38966	27529
586	39029	27460
587	39099	27396
588	39173	27335
589	39235	27265
590	39299	27197
591	39358	27125
592	39436	27067
593	39496	26996
594	39559	26927
595	39619	26856
596	39691	26793
597	39762	26730
598	39822	26659
599	39890	26593
600	39968	26534
601	40033	26467
602	40120	26414
603	40199	26355
604	40267	26290
605	40339	26227
606	40416	26167
607	40481	26099
608	40549	26034
609	40622	25972
610	40687	25904
611	40750	25835
612	40822	25772
613	40881	25700
614	40964	25644
615	41046	25587
616	41121	25525
617	41202	25468
618	41273	25404
619	41342	25339
620	41420	25278
621	41496	25218
622	41573	25157
623	41641	25091
624	41715	25029
625	41782	24962
626	41854	24898
627	41922	24833
628	41997	24771
629	42066	24705
630	42143	24644
631	42211	24578
632	42281	24514
633	42364	24456
634	42448	24399
635	42543	24348
636	42636	24296
637	42712	24235
638	42786	24172
639	42877	24118
640	42959	24060
641	43038	23999
642	43122	23941
643	43197	23879
644	43276	23819
645	43377	23770
646	43469	23716
647	43541	23652
648	43629	23596
649	43709	23535
650	43784	23472
651	43854	23407
652	43924	23341
653	44004	23280
654	44086	23221
655	44171	23163
656	44240	23096
657	44322	23036
658	44403	22976
659	44489	22918
660	44573	22860
661	44659	22802
662	44735	22738
663	44820	22680
664	44903	22620
665	44993	22564
666	45084	22508
667	45159	22444
668	45233	22380
669	45325	22324
670	45401	22261
671	45475	22196
672	45555	22134
673	45622	22066
674	45701	22004
675	45778	21941
676	45857	21879
677	45949	21822
678	46022	21757
679	46107	21697
680	46212	21647
681	46318	21597
682	46395	21533
683	46471	21469
684	46540	21401
685	46615	21336
686	46700	21277
687	46791	21219
688	46869	21156
689	46941	21089
690	47010	21022
691	47076	20953
692	47148	20886
693	47237	20828
694	47317	20765
695	47384	20696
696	47452	20628
697	47524	20562
698	47609	20501
699	47686	20436
700	47763	20372
701	47843	20309
702	47921	20245
703	48001	20182
704	48086	20121
705	48162	20056
706	48255	19998
707	48338	19936
708	48423	19874
709	48511	19814
710	48595	19752
711	48674	19688
712	48772	19632
713	48852	19568
714	48931	19504
715	49004	19437
716	49095	19378
717	49177	19314
718	49272	19256
719	49349	19191
720	49432	19128
721	49504	19061
722	49586	18997
723	49662	18932
724	49730	18863
725	49805	18797
726	49875	18728
727	49959	18666
728	50030	18598
729	50110	18534
730	50183	18466
731	50261	18401
732	50331	18333
733	50406	18267
734	50482	18201
735	50559	18135
736	50637	18070
737	50726	18008
738	50807	17944
739	50890	17880
740	50962	17812
741	51032	17744
742	51111	17679
743	51195	17615
744	51259	17545
745	51326	17475
746	51402	17409
747	51475	17342
748	51553	17276
749	51625	17208
750	51687	17137
751	51751	17066
752	51825	17000
753	51892	16930
754	51957	16860
755	52031	16793
756	52101	16724
757	52172	16656
758	52247	16589
759	52311	16519
760	52384	16451
761	52466	16387
762	52547	16322
763	52621	16254
764	52696	16187
765	52778	16123
766	52851	16055
767	52930	15989
768	52998	15920
769	53060	15849
770	53133	15781
771	53203	15713
772	53273	15644
773	53344	15576
774	53430	15512
775	53502	15444
776	53595	15382
777	53671	15315
778	53738	15245
779	53809	15176
780	53887	15110
781	53970	15045
782	54042	14977
783	54123	14911
784	54196	14843
785	54264	14774
786	54339	14706
787	54411	14638
788	54493	14572
789	54578	14508
790	54670	14445
791	54746	14377
792	54842	14315
793	54938	14253
794	55019	14187
795	55106	14122
796	55193	14058
797	55271	13991
798	55347	13923
799	55424	13856
800	55486	13784
801	55569	13719
802	55656	13654
803	55722	13584
804	55808	13518
805	55883	13450
806	55957	13382
807	56030	13314
808	56106	13246
809	56183	13178
810	56253	13109
811	56320	13039
812	56407	12974
813	56481	12906
814	56561	12839
815	56642	12772
816	56718	12704
817	56790	12635
818	56874	12569
819	56963	12504
820	57037	12435
821	57119	12368
822	57187	12299
823	57259	12230
824	57327	12160
825	57405	12092
826	57480	12024
827	57540	11952
828	57612	11883
829	57684	11814
830	57758	11746
831	57830	11677
832	57899	11607
833	57977	11539
834	58045	11470
835	58112	11400
836	58195	11333
837	58267	11264
838	58332	11193
839	58413	11126
840	58509	11061
841	58575	10991
842	58632	10919
843	58714	10852
844	58786	10783
845	58853	10713
846	58930	10645
847	59021	10579
848	59100	10511
849	59173	10442
850	59250	10374
851	59316	10303
852	59391	10235
853	59475	10167
854	59554	10099
855	59632	10031
856	59698	9961
857	59757	9889
858	59839	9822
859	59917	9754
860	59977	9682
861	60054	9614
862	60124	9544
863	60198	9475
864	60280	9407
865	60353	9338
866	60429	9269
867	60496	9199
868	60556	9128
869	60616	9057
870	60695	8989
871	60769	8920
872	60846	8851
873	60926	8783
874	61009	8715
875	61079	8645
876	61151	8576
877	61230	8508
878	61306	8439
879	61381	8370
880	61460	8301
881	61537	8232
882	61613	8163
883	61675	8093
884	61754	8024
885	61816	7953
886	61884	7883
887	61958	7814
888	62032	7745
889	62100	7675
890	62173	7605
891	62253	7537
892	62328	7468
893	62410	7399
894	62480	7330
895	62552	7260
896	62619	7190
897	62699	7121
898	62776	7052
899	62851	6983
900	62929	6914
901	63006	6845
902	63078	6775
903	63156	6706
904	63229	6637
905	63306	6568
906	63365	6497
907	63448	6428
908	63529	6359
909	63618	6291
910	63678	6221
911	63754	6151
912	63810	6080
913	63873	6009
914	63949	5940
915	64019	5870
916	64088	5800
917	64151	5730
918	64219	5660
919	64281	5589
920	64352	5519
921	64407	5448
922	64475	5378
923	64541	5308
924	64603	5238
925	64665	5167
926	64729	5097
927	64803	5027
928	64865	4957
929	64926	4886
930	64985	4816
931	65050	4746
932	65121	4676
933	65186	4606
934	65262	4536
935	65340	4467
936	65397	4397
937	65465	4327
938	65528	4256
939	65610	4187
940	65673	4117
941	65737	4047
942	65816	3978
943	65886	3908
944	65955	3838
945	66031	3769
946	66109	3699
947	66194	3630
948	66275	3561
949	66358	3492
950	66433	3422
951	66512	3353
952	66587	3283
953	66660	3214
954	66725	3144
955	66802	3074
956	66866	3004
957	66941	2934
958	67013	2865
959	67093	2795
960	67162	2725
961	67228	2655
962	67294	2585
963	67359	2515
964	67433	2445
965	67505	2375
966	67562	2305
967	67634	2235
968	67703	2165
969	67760	2095
970	67820	2025
971	67891	1955
972	67958	1885
973	68015	1815
974	68084	1745
975	68144	1675
976	68209	1605
977	68276	1535
978	68338	1465
979	68403	1395
980	68489	1326
981	68560	1256
982	68628	1186
983	68691	1116
984	68767	1047
985	68846	977
986	68912	907
987	68988	837
988	69054	768
989	69124	698
990	69188	628
991	69259	558
992	69325	488
993	69394	418
994	69462	349
995	69526	279
996	69588	209
997	69656	139
998	69743	69
999	69800	0
